Date,Session,Observer,tblEvents.Area,Weather,Comments,Time,Cows,Cows edited by LH,Calves,Prime_Bulls,Raghorns,Spikes,Unk_Male,unknown elk_LH,Total adult males_LH,Total_Elk,Total_elk edited by LH,Harem,White_Bull,Red_Bull,White_Cow,Red_Cow,Behavior,Notes,Location_Code,Location_Name,tluLocations.Area,X_Coord,Y_Coord,Ranch,Pasture
03/04/2013,a,Bernot,D Ranch,,,6:39,10,Yes,,,,,,15,0,25,,1,,,x,x,ft,crossing east to west,v,outer horick manure pond,D Ranch,503365.3408,4209429.69,Non-permit,Non-permit
03/19/2013,a,Bernot,D Ranch,,,11:56,10,Yes,,,,,,15,0,25,,1,,,1,x,r,,v,outer horick manure pond,D Ranch,503365.3408,4209429.69,Non-permit,Non-permit
08/05/2013,a,Press,D Ranch,,,14:00,10,Yes,,,,,,15,0,25,,1,,,x,1,,cows and calves,l,east D road plateau 3,D Ranch,503099.7957,4210262.166,D (Nunes),Pasture B
09/06/2013,b,Bernot,D Ranch,,,18:47,10,Yes,,,,,,15,0,25,,1,,,0,0,rf,,mm,C ranch reservoir,D Ranch,502021.6333,4210092.33,C (Spaletta),Dam Field
04/11/2012,a,Bernot,D Ranch,,,6:35,10,Yes,,,,,,16,0,26,,1,,,,,,,mm,C ranch reservoir,D Ranch,502021.6333,4210092.33,C (Spaletta),Dam Field
08/28/2013,a,Bernot,D Ranch,,,11:00,10,Yes,,,,,,17,0,27,,1,,,x,0,r,,iii,WD res cyn sunning spot,D Ranch,502840.4449,4209984.979,D (Spaletta),West
03/21/2016,a,Bernot,D Ranch,o,,8:39,10,Yes,,,,,,17,0,27,,1,,,,1,rf,,hhh,DB tract near tunnel,D Ranch,503216.3458,4209467.767,Non-permit,Non-permit
08/14/2012,b,Bernot,D Ranch,,,19:00,10,Yes,,,,,,18,0,28,,1,,,,,,hazed to DB tract,lll,E side of fence NW corner,D Ranch,502990.5008,4211228.177,D (Nunes),Pasture C
09/07/2012,a,Bernot,D Ranch,,,6:20,10,Yes,,,,,,18,0,28,,1,,,,,t,,p,east D house pasture,D Ranch,503315.198,4209989.206,Non-permit,Non-permit
08/28/2013,a,Bernot,D Ranch,,,11:00,10,Yes,,,,,,18,0,28,,1,,,0,x,r,,uu,C ranch center ridge mid,D Ranch,502401.4737,4209898.844,C (Spaletta),Dam Field
09/17/2013,b,Bernot,D Ranch,,,18:12,10,Yes,,,,,,18,0,28,,1,,,0,0,f,,mm,C ranch reservoir,D Ranch,502021.6333,4210092.33,C (Spaletta),Dam Field
10/30/2015,a,Bernot,D Ranch,,,7:04,10,Yes,,,,,,18,0,28,,1,,,,,r,,hhh,DB tract near tunnel,D Ranch,503216.3458,4209467.767,Non-permit,Non-permit
05/30/2013,a,Bernot,D Ranch,,,8:45,10,Yes,,,,,,19,0,29,,1,,,x,1,r,,kkk,bottom of WD res cyn,D Ranch,502905.8875,4209737.762,D (Spaletta),West
03/30/2011,a,Bernot,D Ranch,,,,10,Yes,,,,,,20,0,30,,1,,,,,,,g,east D upper pond gulch,D Ranch,502628.6032,4210745.602,D (Nunes),Pasture B
09/22/2011,a,Bernot,D Ranch,,,12:30,10,Yes,,,,,,20,0,30,,1,,,,,,,v,outer horick manure pond,D Ranch,503365.3408,4209429.69,Non-permit,Non-permit
04/16/2012,a,Bernot,D Ranch,,,6:50,10,Yes,,,,,,20,0,30,,1,,,,,,,s,D ranch complex,D Ranch,503292.2452,4209703.18,Non-permit,Non-permit
08/17/2012,a,Bernot,D Ranch,,,7:10,10,Yes,,,,,,20,0,30,,1,,,,,,,h,east D upper pond spillway,D Ranch,502814.0731,4210604.153,D (Nunes),Pasture B
02/05/2016,a,Bernot,D Ranch,,,9:20,10,Yes,,,,,,20,0,30,,1,,,,,,,l,east D road plateau 3,D Ranch,503099.7957,4210262.166,D (Nunes),Pasture B
04/13/2015,a,Bernot,D Ranch,,,10:45,10,Yes,5,,,,,15,0,30,,1,,,,,rf,,t,horseshoe pond pasture,D Ranch,503794.3798,4209715.716,Non-permit,Non-permit
04/24/2015,a,Bernot,D Ranch,b,,10:56,27,,3,,,,,0,0,30,,1,,,,,r,,t,horseshoe pond pasture,D Ranch,503794.3798,4209715.716,Non-permit,Non-permit
03/14/2016,a,Bernot,D Ranch,,,7:31,10,Yes,,,,,,21,0,31,,1,,,,1,t,,ii,west D across from house,D Ranch,503101.3912,4209954.221,D (Spaletta),West
01/19/2011,a,Bernot,D Ranch,,,7:00,10,Yes,,,,,,22,0,32,,1,,,,,,,uu,C ranch center ridge mid,D Ranch,502401.4737,4209898.844,C (Spaletta),Dam Field
01/20/2011,a,Bernot,D Ranch,,,7:30,10,Yes,,,,,,22,0,32,,1,,,,,,hazed to v,uu,C ranch center ridge mid,D Ranch,502401.4737,4209898.844,C (Spaletta),Dam Field
04/16/2013,a,Bernot,D Ranch,,,9:05,10,Yes,,,,,,22,0,32,,1,,,x,1,r,,kkk,bottom of WD res cyn,D Ranch,502905.8875,4209737.762,D (Spaletta),West
05/10/2013,b,Bernot,D Ranch,,,17:30,10,Yes,,,,,,22,0,32,,1,,,x,0,t,,t,horseshoe pond pasture,D Ranch,503794.3798,4209715.716,Non-permit,Non-permit
