Total.Residence.hrs,Num.animals,Revisits,coordIdx,Avg.Residence.hrs,x,y
341.51,2,62,51,170.8,502099.11689696,4211799.93957601
337.85,2,61,52,168.9,502095.265059758,4211801.33659461
15.25,2,12,53,7.6,502027.23028342,4211898.58089972
9.09,1,3,54,9.1,501906.816270021,4211944.40878168
8.9,1,2,55,8.9,501904.054113441,4211938.48323909
28.71,1,10,56,28.7,501694.594239463,4212449.48733214
15.19,1,9,57,15.2,501784.046460823,4212538.712807
381.48,2,71,58,190.7,502083.349640865,4211772.00863598
375.29,2,67,59,187.6,502106.736428094,4211783.2652889
1.2,1,1,60,1.2,501418.304633491,4211875.01895885
1.18,1,1,61,1.2,501354.973962975,4212014.23217422
